Facets,raw_value,normalized_value,extracted_id,facet_type,conversation_observable,sensitivity,scoring_definition,abstention_reason
Depression (DEP),Depression (DEP),depression (dep),,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Understanding Mathematical Concepts,Understanding Mathematical Concepts,understanding mathematical concepts,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Hypomania (Ma),Hypomania (Ma),hypomania (ma),,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Goal-Directed Behavior,Goal-Directed Behavior,goal-directed behavior,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Depth of Emotional Connections,Depth of Emotional Connections,depth of emotional connections,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Binding foundations index,Binding foundations index,binding foundations index,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Ego Dissolution Frequency,Ego Dissolution Frequency,ego dissolution frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Activator: Turning thoughts into action,Activator: Turning thoughts into action,activator: turning thoughts into action,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
967. Gnostic spiritual metric: Archon meditation frequency,967. Gnostic spiritual metric: Archon meditation frequency,967. gnostic spiritual metric: archon meditation frequency,967.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Exemplariness,Exemplariness,exemplariness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Moral and Ethical Parameters:,Moral and Ethical Parameters:,moral and ethical parameters:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Submission:,Submission:,submission:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Frankness,Frankness,frankness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,psychological construct: psychological safety climate,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,psychological construct: self-compassion total,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,psychological construct: executive-function composite,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Rebelliousness,Rebelliousness,rebelliousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Volunteer Work,Volunteer Work,volunteer work,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Intellect,Intellect,intellect,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Use of Mathematical Formulas,Use of Mathematical Formulas,use of mathematical formulas,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Coarseness,Coarseness,coarseness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents:,behavioral tendencies and subcomponents:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Sensitivity,Sensitivity,sensitivity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Divided Attention Ability,Divided Attention Ability,divided attention ability,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,psychological construct: acculturative stress score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Dauntlessness,Dauntlessness,dauntlessness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Concreteness,Concreteness,concreteness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Hysteria (Hy),Hysteria (Hy),hysteria (hy),,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
911. Jewish spiritual metric: Sukkot lulav-shaking days,911. Jewish spiritual metric: Sukkot lulav-shaking days,911. jewish spiritual metric: sukkot lulav-shaking days,911.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Sentence Structure,Sentence Structure,sentence structure,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Esteem Needs,Esteem Needs,esteem needs,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Understanding mechanical concepts,Understanding mechanical concepts,understanding mechanical concepts,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Auditory Memory Recall,Auditory Memory Recall,auditory memory recall,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Storytelling proficiency,Storytelling proficiency,storytelling proficiency,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Music-lessons years,Music-lessons years,music-lessons years,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Warmheartedness,Warmheartedness,warmheartedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Self-effacement,Self-effacement,self-effacement,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Outspokenness,Outspokenness,outspokenness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sleep-environment temperature,Sleep-environment temperature,sleep-environment temperature,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Comprehension of spoken information,Comprehension of spoken information,comprehension of spoken information,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Blissfulness,Blissfulness,blissfulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sequential Memory Recall,Sequential Memory Recall,sequential memory recall,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Withdrawnness,Withdrawnness,withdrawnness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
892. Hindu spiritual metric: Yoga discipline hours / week,892. Hindu spiritual metric: Yoga discipline hours / week,892. hindu spiritual metric: yoga discipline hours / week,892.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Conservatism,Conservatism,conservatism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Adaptability and Flexibility Subcomponents:,Adaptability and Flexibility Subcomponents:,adaptability and flexibility subcomponents:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
898. Hindu spiritual metric: Vrata vows observed / year,898. Hindu spiritual metric: Vrata vows observed / year,898. hindu spiritual metric: vrata vows observed / year,898.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Ardency,Ardency,ardency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Aesthetic Appreciation,Aesthetic Appreciation,aesthetic appreciation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Transactional Leadership:,Transactional Leadership:,transactional leadership:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Value orientation: Universalism,Value orientation: Universalism,value orientation: universalism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Perseverance,Perseverance,perseverance,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Regularity of Self-Reflection,Regularity of Self-Reflection,regularity of self-reflection,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Controlling Reactions,Controlling Reactions,controlling reactions,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,psychological construct: cultural intelligence – behavioral,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Metabolic Rate (Low or High),Metabolic Rate (Low or High),metabolic rate (low or high),,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Dietary Habits,Dietary Habits,dietary habits,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Significance: Desire to make an impact,Significance: Desire to make an impact,significance: desire to make an impact,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,psychological construct: resilience-trait score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Boredom Susceptibility,Boredom Susceptibility,boredom susceptibility,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,psychological construct: consummatory pleasure scale,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Leadership Styles and Behaviors:,Leadership Styles and Behaviors:,leadership styles and behaviors:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
723. I Ching hexagram 5 resonance level,723. I Ching hexagram 5 resonance level,723. i ching hexagram 5 resonance level,723.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Macronutrient ratio: carbs,Macronutrient ratio: carbs,macronutrient ratio: carbs,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Passport-stamps count,Passport-stamps count,passport-stamps count,,biographical_external,false,medium,,Requires explicit biographical or external evidence.
Local-food sourcing %,Local-food sourcing %,local-food sourcing %,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Patient care orientation,Patient care orientation,patient care orientation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Soft-skill training hours,Soft-skill training hours,soft-skill training hours,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Graffiti appreciation,Graffiti appreciation,graffiti appreciation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,preference for home-cooked vs restaurant meals,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Immune-response age,Immune-response age,immune-response age,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,social-cognition variable: cognitive empathy,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Kink-interest diversity,Kink-interest diversity,kink-interest diversity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Adaptability and Flexibility:,Adaptability and Flexibility:,adaptability and flexibility:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Judging Consequences,Judging Consequences,judging consequences,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Harmfulness,Harmfulness,harmfulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Affinity,Affinity,affinity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Abasement,Abasement,abasement,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Chronic pain presence,Chronic pain presence,chronic pain presence,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
520. Discernment practice hours / week,520. Discernment practice hours / week,520. discernment practice hours / week,520.0,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Initiative,Initiative,initiative,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Courageousness,Courageousness,courageousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Joyfulness,Joyfulness,joyfulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Suspicion,Suspicion,suspicion,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Basophil count,Basophil count,basophil count,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Attachment avoidance score,Attachment avoidance score,attachment avoidance score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Time Orientation End Points:,Time Orientation End Points:,time orientation end points:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Brazenness,Brazenness,brazenness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Talkativeness,Talkativeness,talkativeness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Equitableness,Equitableness,equitableness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Ideas generated/day,Ideas generated/day,ideas generated/day,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Originality,Originality,originality,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,fearfulness: fear of physical dangers,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Dance rehearsal hours/week,Dance rehearsal hours/week,dance rehearsal hours/week,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
561. Practice frequency: Mantra meditation,561. Practice frequency: Mantra meditation,561. practice frequency: mantra meditation,561.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Public-transport km/week,Public-transport km/week,public-transport km/week,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Social Desirability Bias,Social Desirability Bias,social desirability bias,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
761. I Ching hexagram 43 resonance level,761. I Ching hexagram 43 resonance level,761. i ching hexagram 43 resonance level,761.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Disagreeableness,Disagreeableness,disagreeableness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Participation in Community Activities,Participation in Community Activities,participation in community activities,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Impudence,Impudence,impudence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Analogies,Analogies,analogies,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Clumsiness,Clumsiness,clumsiness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,tendency toward compromise or confrontation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
737. I Ching hexagram 19 resonance level,737. I Ching hexagram 19 resonance level,737. i ching hexagram 19 resonance level,737.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Robotics-interaction frequency,Robotics-interaction frequency,robotics-interaction frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Casual lifestyle,Casual lifestyle,casual lifestyle,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Collectedness,Collectedness,collectedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Reliance on context,Reliance on context,reliance on context,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Delegation skills,Delegation skills,delegation skills,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
767. I Ching hexagram 49 resonance level,767. I Ching hexagram 49 resonance level,767. i ching hexagram 49 resonance level,767.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Managing emotions,Managing emotions,managing emotions,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Scripture memorization verses,Scripture memorization verses,scripture memorization verses,,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Conventional,Conventional,conventional,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
890. Hindu spiritual metric: Bhagavad-Gita study hours,890. Hindu spiritual metric: Bhagavad-Gita study hours,890. hindu spiritual metric: bhagavad-gita study hours,890.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Open-source contributions,Open-source contributions,open-source contributions,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,psychological construct: social conformity tendency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Individuality,Individuality,individuality,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
740. I Ching hexagram 22 resonance level,740. I Ching hexagram 22 resonance level,740. i ching hexagram 22 resonance level,740.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Attachment style: Secure,Attachment style: Secure,attachment style: secure,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Intelligence Quotient (IQ),Intelligence Quotient (IQ),intelligence quotient (iq),,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Blog-subscriber count,Blog-subscriber count,blog-subscriber count,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Non-Verbal Communication Skills,Non-Verbal Communication Skills,non-verbal communication skills,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Drug-use history,Drug-use history,drug-use history,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Commute time/day,Commute time/day,commute time/day,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Decision-making speed,Decision-making speed,decision-making speed,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,psychological construct: excuse-making tendency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Peer-to-peer lending usage,Peer-to-peer lending usage,peer-to-peer lending usage,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,psychological construct: eye-contact avoidance score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,social-cognition variable: faux pas recognition accuracy,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Conscientiousness (C):,Conscientiousness (C):,conscientiousness (c):,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,use of nature as a stress reliever,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Attitude toward learning,Attitude toward learning,attitude toward learning,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Conscientiousness Facets:,Conscientiousness Facets:,conscientiousness facets:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Honesty-humility trait score,Honesty-humility trait score,honesty-humility trait score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Digital-nomad months,Digital-nomad months,digital-nomad months,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
516. Religious coping – Negative,516. Religious coping – Negative,516. religious coping – negative,516.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Snacking Behavior,Snacking Behavior,snacking behavior,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Aura-color perception,Aura-color perception,aura-color perception,,astrology_pseudoscience,false,medium,,Cannot be established from ordinary conversation.
638. Sacred text engagement: Zohar (Kabbalah) study hours,638. Sacred text engagement: Zohar (Kabbalah) study hours,638. sacred text engagement: zohar (kabbalah) study hours,638.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Motivational Drivers:,Motivational Drivers:,motivational drivers:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Cloud-backup frequency,Cloud-backup frequency,cloud-backup frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Learning Style,Learning Style,learning style,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
872. Islamic practice: Seerah study hours,872. Islamic practice: Seerah study hours,872. islamic practice: seerah study hours,872.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Safety compliance,Safety compliance,safety compliance,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sensationalism,Sensationalism,sensationalism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Nationality,Nationality,nationality,,biographical_external,false,medium,,Requires explicit biographical or external evidence.
Drollness,Drollness,drollness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Cooperation,Cooperation,cooperation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Breakfast-skipping frequency,Breakfast-skipping frequency,breakfast-skipping frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
922. Sikh spiritual metric: Kirtan participation frequency,922. Sikh spiritual metric: Kirtan participation frequency,922. sikh spiritual metric: kirtan participation frequency,922.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Impulsivity,Impulsivity,impulsivity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Museum visits/year,Museum visits/year,museum visits/year,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Choir participation years,Choir participation years,choir participation years,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Delegation Ability,Delegation Ability,delegation ability,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
788. Kabbalah sephira balance: Tiferet,788. Kabbalah sephira balance: Tiferet,788. kabbalah sephira balance: tiferet,788.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Desire to influence others,Desire to influence others,desire to influence others,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Vivacity,Vivacity,vivacity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Genialness,Genialness,genialness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,cognitive measure: working memory index,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Ethical practices,Ethical practices,ethical practices,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
945. New-Age spiritual metric: Channeling sessions / year,945. New-Age spiritual metric: Channeling sessions / year,945. new-age spiritual metric: channeling sessions / year,945.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Civility,Civility,civility,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sleep Apnea,Sleep Apnea,sleep apnea,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Classiness,Classiness,classiness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Control over situations,Control over situations,control over situations,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Time outdoors/day (h),Time outdoors/day (h),time outdoors/day (h),,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Effeteness,Effeteness,effeteness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,polygenic risk: cardiovascular disease,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,psychological construct: identity diffusion level,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
